id;name;balans_id;service_id;street_id
1; Відсутній в ГІС ;342342342;;
108204;40-річчя Жовтня/ Голосіївський 100/2 просп.;102;199;799
109697;40-річчя Жовтня/ Голосіївський 102/1 просп.;102;199;799
108944;40-річчя Жовтня/ Голосіївський 103 просп.;102;199;799
108935;40-річчя Жовтня/ Голосіївський 105 просп.;102;199;799
109680;40-річчя Жовтня/ Голосіївський 106/2 просп.;102;199;799
108050;40-річчя Жовтня/ Голосіївський 108/1 просп.;102;199;799
111980;40-річчя Жовтня/ Голосіївський 11 просп.;102;184;799
109096;40-річчя Жовтня/ Голосіївський 110 просп.;102;199;799
109070;40-річчя Жовтня/ Голосіївський 112 просп.;102;199;799
109037;40-річчя Жовтня/ Голосіївський 114/к1 просп.;102;199;799
109024;40-річчя Жовтня/ Голосіївський 114/к2 просп.;102;199;799
200000;40-річчя Жовтня/ Голосіївський 116 просп.;82;;799
107471;40-річчя Жовтня/ Голосіївський 118/к1 просп.;102;199;799
107253;40-річчя Жовтня/ Голосіївський 118/к2 просп.;102;199;799
200006;40-річчя Жовтня/ Голосіївський 118Б просп.;102;237;799
107231;40-річчя Жовтня/ Голосіївський 120/к1 просп.;102;199;799
107458;40-річчя Жовтня/ Голосіївський 120/к2 просп.;102;199;799
107219;40-річчя Жовтня/ Голосіївський 120/к3 просп.;102;199;799
107416;40-річчя Жовтня/ Голосіївський 122/к1 просп.;102;199;799
107213;40-річчя Жовтня/ Голосіївський 122/к2 просп.;102;199;799
107399;40-річчя Жовтня/ Голосіївський 122/к3 просп.;102;199;799
108891;40-річчя Жовтня/ Голосіївський 126/к1 просп.;102;199;799
108894;40-річчя Жовтня/ Голосіївський 126/к2 просп.;102;199;799
108888;40-річчя Жовтня/ Голосіївський 126/к3 просп.;102;199;799
108812;40-річчя Жовтня/ Голосіївський 126/к4 просп.;102;199;799
107119;40-річчя Жовтня/ Голосіївський 128 просп.;102;199;799
113186;40-річчя Жовтня/ Голосіївський 13 просп.;102;184;799
113045;40-річчя Жовтня/ Голосіївський 15А просп.;102;184;799
111951;40-річчя Жовтня/ Голосіївський 15б просп.;102;184;799
111236;40-річчя Жовтня/ Голосіївський 17 просп.;102;184;799
112980;40-річчя Жовтня/ Голосіївський 17А просп.;102;184;799
111607;40-річчя Жовтня/ Голосіївський 17Б просп.;102;184;799
130856;40-річчя Жовтня/ Голосіївський 19 просп.;102;184;799
110817;40-річчя Жовтня/ Голосіївський 23 просп.;102;184;799
110818;40-річчя Жовтня/ Голосіївський 25 просп.;102;184;799
112538;40-річчя Жовтня/ Голосіївський 46/1 просп.;102;228;799
112297;40-річчя Жовтня/ Голосіївський 46А просп.;102;228;799
111060;40-річчя Жовтня/ Голосіївський 48 просп.;102;228;799
113349;40-річчя Жовтня/ Голосіївський 5 просп.;102;184;799
110052;40-річчя Жовтня/ Голосіївський 70 к.2 просп.;102;228;799
109737;40-річчя Жовтня/ Голосіївський 74 просп.;102;228;799
110020;40-річчя Жовтня/ Голосіївський 74А просп.;102;228;799
109675;40-річчя Жовтня/ Голосіївський 82 просп.;102;228;799
109757;40-річчя Жовтня/ Голосіївський 84 просп.;102;228;799
110605;40-річчя Жовтня/ Голосіївський 86/1 просп.;102;228;799
109268;40-річчя Жовтня/ Голосіївський 88 просп.;102;228;799
107739;40-річчя Жовтня/ Голосіївський 89 просп.;102;199;799
113222;40-річчя Жовтня/ Голосіївський 9 просп.;102;184;799
110340;40-річчя Жовтня/ Голосіївський 90 просп.;102;228;799
109030;40-річчя Жовтня/ Голосіївський 91 просп.;102;199;799
109177;40-річчя Жовтня/ Голосіївський 92/1 просп.;102;228;799
110269;40-річчя Жовтня/ Голосіївський 94/1 просп.;102;228;799
108656;40-річчя Жовтня/ Голосіївський 94/2 просп.;102;228;799
108373;40-річчя Жовтня/ Голосіївський 96 просп.;102;228;799
108965;40-річчя Жовтня/ Голосіївський 97 просп.;102;199;799
108971;40-річчя Жовтня/ Голосіївський 97А просп.;102;199;799
108743;40-річчя Жовтня/ Голосіївський 98/2 просп.;102;228;799
107215;40-річчя Жовтня/ Голосіївський 99 просп.;102;199;799
290022;Iсаакяна 2 вул.;117;152;869
70389;Авіаконструктора Ігоря Сікорського 6 вул.;117;219;999
140149;Авіаконструктора Ігоря Сікорського 6-а вул.;117;219;999
82924;Автозаводська 11 вул.;1;181;826
82881;Автозаводська 15А вул.;1;181;826
83016;Автозаводська 17 вул.;1;181;826
240022;Автозаводська 21-Б вул.;1;34;826
84160;Автозаводська 21А вул.;1;181;826
84162;Автозаводська 25 вул.;1;181;826
240023;Автозаводська 25-Г вул.;1;34;826
88039;Автозаводська 25А вул.;1;181;826
82304;Автозаводська 25Б вул.;1;181;826
89676;Автозаводська 25В вул.;1;181;826
82794;Автозаводська 27 вул.;1;181;826
240024;Автозаводська 27-Г вул.;1;34;826
84098;Автозаводська 27Б вул.;1;181;826
82587;Автозаводська 27В вул.;1;181;826
84085;Автозаводська 39 вул.;1;181;826
88027;Автозаводська 41 вул.;1;181;826
88026;Автозаводська 43 вул.;1;181;826
90100;Автозаводська 5 вул.;1;181;826
240025;Автозаводська 5-А вул.;1;34;826
240026;Автозаводська 5-Б вул.;1;34;826
88274;Автозаводська 61 вул.;1;182;826
88273;Автозаводська 63 вул.;1;182;826
90094;Автозаводська 7 вул.;1;181;826
88628;Автозаводська 7А вул.;1;181;826
90095;Автозаводська 7Б вул.;1;181;826
240014;Автозаводська 83 вул.;1;45;826
82528;Автозаводська 87 вул.;1;182;826
82242;Автозаводська 87А вул.;1;182;826
82514;Автозаводська 89 вул.;1;182;826
83949;Автозаводська 89А вул.;1;182;826
240028;Автозаводська 9-Б вул.;1;34;826
82194;Автозаводська 93 вул.;1;182;826
240027;Автозаводська 93-А вул.;1;34;826
82517;Автозаводська 97/5 вул.;1;182;826
83036;Автозаводська 9А вул.;1;181;826
82296;Агрегатна 2 вул.;1;181;827
240029;Агрегатна 2-А вул.;1;34;827
32383;Азербайджанська 16/1 вул.;7;200;184
30968;Азербайджанська 16/2 вул.;7;200;184
31351;Азербайджанська 16/3 вул.;7;200;184
31335;Азербайджанська 16/4 вул.;7;200;184
32151;Азербайджанська 2 вул.;7;200;184
31281;Азербайджанська 4 вул.;7;200;184
30889;Азербайджанська 6 вул.;7;200;184
30910;Азербайджанська 8а вул.;7;200;184
30908;Азербайджанська 8б вул.;7;200;184
230000;Алішера Навої 3 просп.;28;;851
34135;Алма-Атинська 101 вул.;7;201;185
32600;Алма-Атинська 101а вул.;7;201;185
32628;Алма-Атинська 101б вул.;7;201;185
34148;Алма-Атинська 103/1 вул.;7;201;185
32640;Алма-Атинська 105/2 вул.;7;201;185
32558;Алма-Атинська 107/2 вул.;7;201;185
34206;Алма-Атинська 109а вул.;7;201;185
32718;Алма-Атинська 111 вул.;7;201;185
32613;Алма-Атинська 2 вул.;7;200;185
31975;Алма-Атинська 34 вул.;7;201;185
140086;Алма-Атинська 36а вул.;7;201;185
33071;Алма-Атинська 37б вул.;7;201;185
34795;Алма-Атинська 39а вул.;7;201;185
34792;Алма-Атинська 39в вул.;7;201;185
130036;Алма-Атинська 39г вул.;7;201;185
34796;Алма-Атинська 39д вул.;7;201;185
130037;Алма-Атинська 39е вул.;7;201;185
36095;Алма-Атинська 39з вул.;7;201;185
31528;Алма-Атинська 4 вул.;7;200;185
36096;Алма-Атинська 41а вул.;7;201;185
130853;Алма-Атинська 41б вул.;7;201;185
33080;Алма-Атинська 43/57 вул.;7;201;185
31546;Алма-Атинська 4а вул.;7;200;185
32232;Алма-Атинська 52 вул.;7;201;185
32292;Алма-Атинська 52а вул.;7;201;185
34113;Алма-Атинська 54 вул.;7;201;185
32586;Алма-Атинська 56 вул.;7;201;185
32916;Алма-Атинська 64а вул.;7;201;185
32707;Алма-Атинська 66 вул.;7;201;185
32936;Алма-Атинська 68 вул.;7;201;185
34246;Алма-Атинська 68а вул.;7;201;185
32944;Алма-Атинська 70 вул.;7;201;185
32297;Алма-Атинська 89а вул.;7;201;185
34096;Алма-Атинська 89б вул.;7;201;185
34106;Алма-Атинська 91 вул.;7;201;185
34103;Алма-Атинська 93 вул.;7;201;185
34119;Алма-Атинська 95 вул.;7;201;185
32342;Алма-Атинська 97/1 вул.;7;201;185
32598;Алма-Атинська 99/2 вул.;7;201;185
67654;Андріївська 11/7А вул.;104;214;726
67714;Андріївська 8-12 вул.;104;214;726
66626;Андріївська 9А вул.;104;214;726
66187;Андріївський 11А узвіз;104;214;332
67076;Андріївський 11А'А'' узвіз;104;214;332
66006;Андріївський 22аБ узвіз;104;214;332
67280;Андріївський 2Б узвіз;104;214;332
65945;Андріївський 2В узвіз;104;214;332
66136;Андріївський 2Г узвіз;104;214;332
65918;Андріївський 30 узвіз;104;214;332
260071;Андріївський 34 узвіз;104;226;332
80866;Андріївський 34А узвіз;104;214;332
66175;Андріївський 3А узвіз;104;214;332
290023;Андрющенка Григорiя 7/19 вул.;117;152;870
76218;Андрющенка Григорія 4 вул.;117;217;525
129986;Андрющенка Григорія 4а вул.;117;217;525
74610;Андрющенка Григорія 4д вул.;117;217;525
75891;Андрющенка Григорія 7/19 вул.;117;217;525
49467;Антонова авіаконструктора 10 вул.;106;140;276
290886;Антонова авіаконструктора 10 вул.;106;140;276
56675;Антонова авіаконструктора 11 вул.;106;139;276
56659;Антонова авіаконструктора 12 вул.;106;140;276
290887;Антонова авіаконструктора 12 вул.;106;140;276
51959;Антонова авіаконструктора 13 вул.;106;139;276
48689;Антонова авіаконструктора 14 вул.;106;140;276
50004;Антонова авіаконструктора 15 вул.;106;139;276
290846;Антонова авіаконструктора 15 вул.;106;139;276
50421;Антонова авіаконструктора 15-А вул.;106;139;276
48637;Антонова авіаконструктора 16 вул.;106;140;276
50366;Антонова авіаконструктора 17 вул.;106;139;276
50518;Антонова авіаконструктора 18 вул.;106;140;276
56674;Антонова авіаконструктора 2/32 корп.1 вул.;106;139;276
52063;Антонова авіаконструктора 2/32 корп.2 вул.;106;139;276
50815;Антонова авіаконструктора 2/32 корп.3 вул.;106;139;276
50596;Антонова авіаконструктора 2/32 корп.4 вул.;106;139;276
51969;Антонова авіаконструктора 2/32 корп.4-А вул.;106;139;276
50309;Антонова авіаконструктора 2/32 корп.5 вул.;106;139;276
50262;Антонова авіаконструктора 2/32 корп.6 вул.;106;139;276
50218;Антонова авіаконструктора 2/32 корп.7 вул.;106;139;276
52028;Антонова авіаконструктора 2/32 корп.8 вул.;106;139;276
290844;Антонова авіаконструктора 2/32,корп.2 вул.;106;139;276
49132;Антонова авіаконструктора 20 вул.;106;140;276
290888;Антонова авіаконструктора 20 вул.;106;140;276
51048;Антонова авіаконструктора 3 вул.;106;139;276
