Код;Номер будинку;ВулицяКод;БалансоутримувачКод;ОбслуговуючаОрганізаціяКод;РайонКод
108204;100/2;799;102;199;5
109697;102/1;799;102;199;5
108944;103;799;102;199;5
108935;105;799;102;199;5
109680;106/2;799;102;199;5
108050;108/1;799;102;199;5
111980;11;799;102;184;5
109096;110;799;102;199;5
109070;112;799;102;199;5
109037;114/к1;799;102;199;5
109024;114/к2;799;102;199;5
200000;116;799;82;1;5
107471;118/к1;799;102;199;5
107253;118/к2;799;102;199;5
200006;118Б;799;102;146;5
107231;120/к1;799;102;199;5
107458;120/к2;799;102;199;5
107219;120/к3;799;102;199;5
107416;122/к1;799;102;199;5
107213;122/к2;799;102;199;5
107399;122/к3;799;102;199;5
108891;126/к1;799;102;199;5
108894;126/к2;799;102;199;5
108888;126/к3;799;102;199;5
108812;126/к4;799;102;199;5
107119;128;799;102;199;5
113186;13;799;102;184;5
113045;15А;799;102;184;5
111951;15б;799;102;184;5
111236;17;799;102;184;5
112980;17А;799;102;184;5
111607;17Б;799;102;184;5
130856;19;799;102;184;5
110817;23;799;102;184;5
110818;25;799;102;184;5
112538;46/1;799;102;115;5
112297;46А;799;102;115;5
111060;48;799;102;115;5
113349;5;799;102;184;5
110052;70 к.2;799;102;115;5
109737;74;799;102;115;5
110020;74А;799;102;115;5
109675;82;799;102;115;5
109757;84;799;102;115;5
110605;86;799;102;115;5
109268;88;799;102;115;5
107739;89;799;102;199;5
113222;9;799;102;184;5
110340;90;799;102;115;5
109030;91;799;102;199;5
109177;92/1;799;102;115;5
110269;94/1;799;102;115;5
108656;94/2;799;102;115;5
108373;96/1;799;102;115;5
108965;97;799;102;199;5
108971;97А;799;102;199;5
108743;98/2;799;102;115;5
107215;99;799;102;199;5
290022;2;869;117;152;6
82924;11;826;1;181;1
82881;15А;826;1;181;1
83016;17;826;1;181;1
240022;21-Б;826;1;34;1
84160;21А;826;1;181;1
84162;25;826;1;181;1
240023;25-Г;826;1;34;1
88039;25А;826;1;181;1
82304;25Б;826;1;181;1
89676;25В;826;1;181;1
82794;27;826;1;181;1
240024;27-Г;826;1;34;1
84098;27Б;826;1;181;1
82587;27В;826;1;181;1
84085;39;826;1;181;1
88027;41;826;1;181;1
88026;43;826;1;181;1
90100;5;826;1;181;1
240025;5-А;826;1;34;1
240026;5-Б;826;1;34;1
88274;61;826;1;182;1
88273;63;826;1;182;1
90094;7;826;1;181;1
88628;7А;826;1;181;1
90095;7Б;826;1;181;1
240014;83;826;1;45;1
82528;87;826;1;182;1
82242;87А;826;1;182;1
82514;89;826;1;182;1
83949;89А;826;1;182;1
240028;9-Б;826;1;34;1
82194;93;826;1;182;1
240027;93-А;826;1;34;1
82517;97/5;826;1;182;1
83036;9А;826;1;181;1
82296;2;827;1;181;1
240029;2-А;827;1;34;1
32383;16/1;184;7;200;7
30968;16/2;184;7;200;7
31351;16/3;184;7;200;7
31335;16/4;184;7;200;7
32151;2;184;7;200;7
31281;4;184;7;200;7
30889;6;184;7;200;7
30910;8а;184;7;200;7
30908;8б;184;7;200;7
126140;3;214;103;108;3
126205;5;214;103;108;3
230000;3;851;28;1;7
34135;101;185;7;201;7
32600;101а;185;7;201;7
32628;101б;185;7;201;7
34148;103/1;185;7;201;7
32640;105/2;185;7;201;7
32558;107/2;185;7;201;7
34206;109а;185;7;201;7
32718;111;185;7;201;7
32613;2;185;7;200;7
31975;34;185;7;201;7
140086;36а;185;7;201;7
33071;37б;185;7;201;7
34795;39а;185;7;201;7
34792;39в;185;7;201;7
130036;39г;185;7;201;7
34796;39д;185;7;201;7
130037;39е;185;7;201;7
36095;39з;185;7;201;7
31528;4;185;7;200;7
36096;41а;185;7;201;7
130853;41б;185;7;201;7
33080;43/57;185;7;201;7
31546;4а;185;7;200;7
32232;52;185;7;201;7
32292;52а;185;7;201;7
34113;54;185;7;201;7
32586;56;185;7;201;7
32916;64а;185;7;201;7
32707;66;185;7;201;7
32936;68;185;7;201;7
34246;68а;185;7;201;7
32944;70;185;7;201;7
32297;89а;185;7;201;7
34096;89б;185;7;201;7
34106;91;185;7;201;7
34103;93;185;7;201;7
34119;95;185;7;201;7
32342;97/1;185;7;201;7
32598;99/2;185;7;201;7
67654;11/7А;726;104;214;4
67714;8-12;726;104;214;4
66626;9А;726;104;214;4
66187;11А;332;104;214;4
67076;11А'А'';332;104;214;4
66006;22аБ;332;104;214;4
67280;2Б;332;104;214;4
65945;2В;332;104;214;4
66136;2Г;332;104;214;4
65918;30;332;104;214;4
80866;34А;332;104;214;4
66175;3А;332;104;214;4
290023;7/19;870;117;152;6
76218;4;525;117;217;6
129986;4а;525;117;217;6
74610;4д;525;117;217;6
75891;7/19;525;117;217;6
49467;10;276;106;140;8
290886;10;276;106;140;
56675;11;276;106;139;8
56659;12;276;106;140;8
290887;12;276;106;140;
51959;13;276;106;139;8
48689;14;276;106;140;8
50004;15;276;106;139;8
290846;15;276;106;139;
50421;15-А;276;106;139;8
48637;16;276;106;140;8
50366;17;276;106;139;8
50518;18;276;106;140;8
56674;2/32 корп.1;276;106;139;8
52063;2/32 корп.2;276;106;139;8
50815;2/32 корп.3;276;106;139;8
50596;2/32 корп.4;276;106;139;8
51969;2/32 корп.4-А;276;106;139;8
50309;2/32 корп.5;276;106;139;8
50262;2/32 корп.6;276;106;139;8
50218;2/32 корп.7;276;106;139;8
52028;2/32 корп.8;276;106;139;8
290844;2/32,корп.2;276;106;139;
49132;20;276;106;140;8
290888;20;276;106;140;
51048;3;276;106;139;8
49595;35;276;106;140;8
