id;name
28;"ВОП ""Дегтярівська"""
89;"ВОП ""Шулявка"""
148;ВОП ”Шулявка”
147;"ВСП ""Виробничник"""
214;Дільниця 1
221;Дільниця 2
213;Дільниця 3
215;Дільниця 4
218;Дільниця 5
32;"ДСТО ""Софіївська"" КП ""Керуюча дирекція"""
235;ЖЕД -103
237;ЖЕД -106
236;ЖЕД -107
234;ЖЕД -109
108;"ЖЕД ""Липкижитлосервіс"""
109;"ЖЕД ""Печерська брама"""
110;"ЖЕД ""Печерськжитло"""
111;"ЖЕД ""Хрещатик"""
112;ЖЕД №1
113;ЖЕД №101
114;ЖЕД №102
115;ЖЕД №103
116;ЖЕД №105
117;ЖЕД №107
118;ЖЕД №109
119;ЖЕД №110
120;ЖЕД №111
121;ЖЕД №2
122;ЖЕД №3
123;ЖЕД №4
124;ЖЕД №5
125;ЖЕД №6
126;ЖЕД №7
127;ЖЕД №701 “Центральний”
128;ЖЕД №7010 “Нивки”
129;ЖЕД №702 “Введенське”
130;ЖЕД №703 КП “Куренівське”
131;ЖЕД №704 “Вітряні Гори”
132;ЖЕД №705 “Галицьке”
133;ЖЕД №706 “Мостицький”
134;ЖЕД №707 “Лісове”
135;ЖЕД №708 “Синьоозерне”
136;ЖЕД №709 “Виноградарь”
137;ЖЕД №8
138;ЖЕД №9
139;ЖЕД №901
140;ЖЕД №902
141;ЖЕД №903
142;ЖЕД №904
143;ЖЕД №905
144;ЖЕД №906
231;ЖЕД-101
232;ЖЕД-102
228;ЖЕД-103
230;ЖЕД-105
199;ЖЕД-106
233;ЖЕД-107
229;ЖЕД-109
184;ЖЕД-110
227;ЖЕД-111
73;ЖЕД-201
65;ЖЕД-202
64;ЖЕД-203
62;ЖЕД-204
69;ЖЕД-205
85;ЖЕД-206
101;ЖЕД-207
208;ЖЕД-208
209;ЖЕД-209
210;ЖЕД-210
47;ЖЕД-221
77;ЖЕД-222
23;ЖЕД-223
165;ЖЕД-301
207;ЖЕД-302
198;ЖЕД-303
188;ЖЕД-304
195;ЖЕД-305
190;ЖЕД-306
206;ЖЕД-310
193;ЖЕД-313
191;ЖЕД-316
189;ЖЕД-318
192;ЖЕД-319
183;ЖЕД-320
185;ЖЕД-401
202;ЖЕД-402
205;ЖЕД-403
200;ЖЕД-404
194;ЖЕД-405
201;ЖЕД-406
197;ЖЕД-407
186;ЖЕД-408
187;ЖЕД-409
196;ЖЕД-410
203;ЖЕД-411
204;ЖЕД-412
170;ЖЕД-501
171;ЖЕД-502
172;ЖЕД-503
173;ЖЕД-504
174;ЖЕД-505
175;ЖЕД-506
176;ЖЕД-507
177;ЖЕД-508
178;ЖЕД-509
179;ЖЕД-510
180;ЖЕД-511
181;ЖЕД-512
182;ЖЕД-513
167;ЖЕД-514
168;ЖЕД-515
169;ЖЕД-516
68;ЖЕК-301
58;ЖЕК-302
88;ЖЕК-303
97;ЖЕК-304
95;ЖЕК-305
54;ЖЕК-306
66;ЖЕК-307
70;ЖЕК-310
96;ЖЕК-312
94;ЖЕК-313
52;ЖЕК-314
41;ЖЕК-316
56;ЖЕК-317
57;ЖЕК-318
67;ЖЕК-319
93;ЖЕК-320
91;ЖЕК-501
1;ЖЕК-502
30;ЖЕК-503
145;ЖЕК-504
26;ЖЕК-505
37;ЖЕК-506
105;ЖЕК-507
76;ЖЕК-508
106;ЖЕК-509
35;ЖЕК-510
102;ЖЕК-511
34;ЖЕК-512
45;ЖЕК-513
92;ЖЕК-514
61;ЖЕК-515
71;ЖЕК-516
72;ЖРЕО-401
33;ЖРЕО-402
22;ЖРЕО-403
75;ЖРЕО-404
98;ЖРЕО-405
38;ЖРЕО-406
25;ЖРЕО-407
10;ЖРЕО-408
17;ЖРЕО-409
59;ЖРЕО-410
90;ЖРЕО-411
8;ЖРЕО-412
238;Керуюча компанія
53;"КП ""Батиївське"""
163;"КП ""Виноградарь"""
162;"КП ""Відрадний"""
24;"КП ""Голосіївжитлосервіс"""
21;"КП ""Грушківське"""
42;"КП ""ЖЕО-103"""
14;"КП ""ЖЕО-105"""
5;"КП ""ЖЕО-107"""
51;"КП ""ЖЕО-109"""
80;"КП ""ЖЕО-110"""
44;"КП ""ЖЕО-111"""
50;"КП ""ЖЕО-112"""
87;"КП ""Залізничне"""
40;"КП ""Індустріальне"""
158;"КП ""Оболоньжитлоексплуатація"""
160;"КП ""РЕО-3"""
157;"КП ""РЕО-4"""
161;"КП ""РЕО-5"""
159;"КП ""РЕО-7"""
60;"КП ""Спецжитлофонд"""
86;КП “Введенське”
7;КП “Виноградарь”
20;КП “Відрадненське”
31;КП “Вітряні Гори”
74;КП “Галицьке”
19;КП “Куренівське”
107;КП “Лісове”
43;КП “Мостицький”
78;КП “Нивки”
15;КП “РЕО-1”
36;КП “РЕО-10”
100;КП “РЕО-2”
2;КП “РЕО-3”
84;КП “РЕО-4”
16;КП “РЕО-5”
79;КП “РЕО-6”
99;КП “РЕО-7”
39;КП “РЕО-9”
4;КП “Синьоозерне”
13;КП “Центральний”
48;КП “Чоколівське”
226;КП «Керуюча компанія з обслуговування житлового фонду Подільського району м. Києва»
164;КП «Керуюча компанія з обслуговування житлового фонду Солом'янського району м. Києва»
103;КП «Нивки»
18;"КП ЖЕК ""Золотоустівська"""
11;"КП ЖЕК ""Михайлівська"""
6;"КП ЖЕК ""Покровська"""
83;"КП ЖЕК ""Татарка"""
81;КП ЖЕК “Лук'янівка”
46;"КП УЖГ ""Печерська брама"""
12;КП УЖГ “Липкижитлосервіс”
63;КП УЖГ “Печерськжитло”
3;КП УЖГ “Хрещатик”
149;ПП ”Науково-технічне підприємство ”Український центр нерухомого майна”
225;ПП ”Науково-Технічне Підприємство ”Український Центр Нерухомого Майна” Покровська
216;ПП ”Науково-Технічне Підприємство ”Український Центр Нерухомого Майна” Софіївська
224;ПП ”Науково-Технічне Підприємство ”Український Центр Нерухомого Майна” Татарка
27;Приватний сектор
104;"ТОВ ""Квартет ЛТД"""
29;"ТОВ ""Київжитлосвіт"""
49;"ТОВ ""Кийградсервіс"""
55;ТОВ “Житловик-плюс”
9;ТОВ “Квартет ЛТД”
82;ТОВ “Святошинжитлосвіт”
146;ТОВ “Фірма “Квартет ЛТД”
212;ТОВ ”Будівельна компанія ”Фасад Констракшн”
166;ТОВ ”Імпел Гріффін Груп”
219;ТОВ ”Індустріальний будівельний холдинг” ВОП ”Дегтярівка”
217;ТОВ ”Індустріальний будівельний холдинг” ВОП ”Златоустівська”
211;ТОВ ”Індустріальний будівельний холдинг” ВОП ”Лук'янівка”
222;ТОВ ”Індустріальний будівельний холдинг” ВОП ”Михайлівська”
223;ТОВ ”Індустріальний будівельний холдинг” ВОП ”Сирець”
220;ТОВ ”Індустріальний будівельний холдинг” ВОП ”Шулявка”
150;ТОВ ”Кийградсервіс”
151;ТОВ ”Комфортна Вежа” ВОП ”Дегтярівка”
152;ТОВ ”Комфортна Вежа” ВОП ”Златоустівська”
153;ТОВ ”Комфортна Вежа” ВОП ”Лук'янівка”
154;ТОВ ”Комфортна Вежа” ВОП ”Михайлівська”
155;ТОВ ”Комфортна Вежа” ВОП ”Сирець”
156;ТОВ ”Комфортна Вежа” ВОП ”Шулявка”
