id;name;old_name;name_display
799;Голосіївський;40-річчя Жовтня;Голосіївський / 40-річчя Жовтня
869;;Iсаакяна;Iсаакяна
999;;Авіаконструктора Ігоря Сікорського;Авіаконструктора Ігоря Сікорського
826;;Автозаводська;Автозаводська
827;;Агрегатна;Агрегатна
184;;Азербайджанська;Азербайджанська
214;пров. Іпсилантієвський;Аістова;пров. Іпсилантієвський / Аістова
851;;Алішера Навої;Алішера Навої
185;;Алма-Атинська;Алма-Атинська
726;;Андріївська;Андріївська
332;;Андріївський;Андріївський
870;;Андрющенка Григорiя;Андрющенка Григорiя
525;;Андрющенка Григорія;Андрющенка Григорія
276;;Антонова авіаконструктора;Антонова авіаконструктора
390;;Арсенальна;Арсенальна
391;;Арсенальний;Арсенальний
791;Січових Стрільців;Артема;Січових Стрільців / Артема
871;;Артилерiйський;Артилерiйський
92;;Артилерійський;Артилерійський
867;;Архітектора Ніколаєва;Архітектора Ніколаєва
186;;Астраханська;Астраханська
69;;Ахматової Анни;Ахматової Анни
872;;Бiлоруська;Бiлоруська
980;Безрука Марка;Бабушкiна;Безрука Марка / Бабушкiна
873;;Бабушкiна;Бабушкiна
936;Безручка Марка;Бабушкіна;Безручка Марка / Бабушкіна
5;;Бабушкіна;Бабушкіна
874;;Багговутiвська;Багговутiвська
10;;Багговутівська;Багговутівська
125;;Бажана;Бажана
187;;Бажова;Бажова
406;;Бакинська;Бакинська
6;;Балакліївська;Балакліївська
63;;Бальзака;Бальзака
374;;Барбюса Анрі;Барбюса Анрі
316;;Басейна;Басейна
354;;Бастіонна;Бастіонна
386;;Бастіонний;Бастіонний
1005;Корчака Януша;Баумана;Корчака Януша / Баумана
38;;Баумана;Баумана
472;;Бауманська;Бауманська
536;;Бахмацька;Бахмацька
992;;Безручка Марка;Безручка Марка
30;;Берегова;Берегова
837;;Бережанська;Бережанська
666;;Березнева;Березнева
188;;Березняківська;Березняківська
65;;Беретті;Беретті
789;;Берковецька;Берковецька
875;;Берлинського Максима;Берлинського Максима
423;;Берлінського Максима;Берлінського Максима
212;;Бессарабська;Бессарабська
599;;Бестужева Олександра;Бестужева Олександра
876;;Бехтеревський;Бехтеревський
437;;Бехтерєвський;Бехтерєвський
932;Горської Алли;Бєлiнського Чеслава;Горської Алли / Бєлiнського Чеслава
798;Горської Алли;Бєлінського Чеслава;Горської Алли / Бєлінського Чеслава
606;;Биківський;Биківський
512;;Бикова;Бикова
193;;Бишівський;Бишівський
732;;Білгородська;Білгородська
729;;Білецького академіка;Білецького академіка
768;;Білицька;Білицька
549;;Біличанська;Біличанська
342;;Білокур Катерини;Білокур Катерини
475;;Білоруська;Білоруська
979;Турчина Ігоря;Блюхера;Турчина Ігоря / Блюхера
855;;Блюхера;Блюхера
937;Турчина Ігоря;Блюхера Василя;Турчина Ігоря / Блюхера Василя
11;;Блюхера Василя;Блюхера Василя
821;;Богатирська;Богатирська
639;;Богданівська;Богданівська
368;;Богомольця академіка;Богомольця академіка
161;Малевича Казимира;Боженка;Малевича Казимира / Боженка
189;;Бойченка Олександра;Бойченка Олександра
128;;Бондарська;Бондарська
754;;Бондарський;Бондарський
505;;Бориславська;Бориславська
1003;;Борисоглiбська;Борисоглiбська
638;;Борисоглібська;Борисоглібська
109;;Бориспільска;Бориспільска
856;;Бориспільська;Бориспільська
569;;Бориспільське;Бориспільське
607;;Боричів;Боричів
733;;Боричів Тік;Боричів Тік
833;;Боровиковського;Боровиковського
865;;Борщагiвська;Борщагiвська
81;;Борщагівська;Борщагівська
507;;Боткіна;Боткіна
190;;Братиславська;Братиславська
651;;Братська;Братська
139;;Брест-Литовський;Брест-Литовський
781;;Броварський;Броварський
590;;Брюллова;Брюллова
42;Маричанська;Бубнова Андрія;Маричанська / Бубнова Андрія
260;;Бударіна;Бударіна
112;;Будищанська;Будищанська
191;;Будівельників;Будівельників
56;;Булаховського академіка;Булаховського академіка
15;;Булгакова;Булгакова
988;;Бульварно-Кудрявська;Бульварно-Кудрявська
43;;Бурмистенка;Бурмистенка
362;;Буслівська;Буслівська
1013;;Бутишев;Бутишев
348;провул. Бутишев;Бутишев;провул. Бутишев / Бутишев
192;;Бучми Амвросія;Бучми Амвросія
877;;Вавилових;Вавилових
247;;Вавілових;Вавілових
259;;Валківська;Валківська
275;;Василевської Ванди;Василевської Ванди
499;;Василенка Миколи;Василенка Миколи
44;;Васильківська;Васильківська
150;;Васильченка;Васильченка
194;;Ватутіна Генерала;Ватутіна Генерала
157;;Введенська;Введенська
878;;Велика Василькiвська;Велика Василькiвська
986;;Велика Васильківська;Велика Васильківська
300;Велика Васильківська;Велика Васильківська;Велика Васильківська / Велика Васильківська
179;;Велика Житомирська;Велика Житомирська
527;;Велика Китаївська;Велика Китаївська
74;;Вербицького Архітектора;Вербицького Архітектора
615;;Верболозна;Верболозна
85;;Вереснева;Вереснева
201;;Вернадського академіка;Вернадського академіка
443;;Верхній Вал;Верхній Вал
136;;Верховинна;Верховинна
199;;Верховинця Василя;Верховинця Василя
196;;Верховної Ради;Верховної Ради
195;;Вершигори Петра;Вершигори Петра
647;Назарівська;Вєтрова;Назарівська / Вєтрова
82;;Виборзька;Виборзька
113;;Вигурівський;Вигурівський
1000;;Винниченка Володимира;Винниченка Володимира
216;;Виноградний;Виноградний
114;;Висоцького Володимира;Висоцького Володимира
337;;Вишгородська;Вишгородська
398;;Вишні Остапа;Вишні Остапа
177;;Вишняківська;Вишняківська
595;;Відпочинку;Відпочинку
53;;Відрадний;Відрадний
933;;Військовий;Військовий
197;;Вільде Едуарда;Вільде Едуарда
778;;Вінницька;Вінницька
142;;Вірменська;Вірменська
269;;Вітрука Генерала;Вітрука Генерала
591;;Вітряні Гори;Вітряні Гори
32;;Вітчизняна;Вітчизняна
584;;Воздвиженська;Воздвиженська
198;;Возз'єднання;Возз'єднання
991;;Вознесенський;Вознесенський
86;;Волго-Донська;Волго-Донська
87;;Волго-Донський;Волго-Донський
250;;Волгоградська;Волгоградська
31;;Волжзька;Волжзька
623;;Волинська;Волинська
54;;Волкова космонавта;Волкова космонавта
665;;Володимиро-Либідська;Володимиро-Либідська
101;;Володимирська;Володимирська
592;;Волоська;Волоська
563;;Волховська;Волховська
438;Бульварно-Кудрявська;Воровського;Бульварно-Кудрявська / Воровського
204;;Воскресенська;Воскресенська
805;;Восьмого Березня;Восьмого Березня
636;;Вузівська;Вузівська
973;Йорданська;Гавро Лайоша;Йорданська / Гавро Лайоша
815;;Гавро Лайоша;Гавро Лайоша
205;;Гагарiна Юрiя;Гагарiна Юрiя
845;;Гагаріна Юрія;Гагаріна Юрія
820;;Гайдай Зої;Гайдай Зої
351;пров. Хрестовий;Гайцана Миколи;пров. Хрестовий / Гайцана Миколи
531;;Галана Ярослава;Галана Ярослава
133;;Галицька;Галицька
938;Квітки Цісик;Гамарника;Квітки Цісик / Гамарника
20;;Гамарника;Гамарника
544;;Гаріна Бориса;Гаріна Бориса
178;;Гарматна;Гарматна
879;;Георгiївський;Георгiївський
734;;Георгіївський;Георгіївський
631;;Геофізиків;Геофізиків
